event_id,day,driver,n_hours,baseline_mae,llm_context_mae,oracle_mae,random_mean_mae,llm_minus_baseline_mae,oracle_minus_baseline_mae,random_mean_minus_baseline_mae,random_single_path_mae_mean,random_single_path_mae_p05,random_single_path_mae_p50,random_single_path_mae_p95,p_random_single_beats_llm,max_abs_llm_forecast_shift,max_abs_oracle_forecast_shift,random_declared_mw,random_width_hours
G053,2023-10-21,avail_gen_mw,24,12.355693760811747,12.535524670720676,16.342620931719384,12.51161176299876,0.17983090990892947,3.986927170907638,0.15591800218701302,12.51161176299875,12.511611762998749,12.511611762998749,12.511611762998749,1.0,3.3316382488689253,45.876627633604784,1063.0,24
T060,2023-12-01,unavail_tx_import_mw,24,12.69923124394149,12.879314057240094,12.699231243941492,14.973051728316719,0.1800828132986041,1.7763568394002505e-15,2.2738204843752285,14.973051728316728,14.973051728316724,14.973051728316724,14.973051728316724,0.0,7.000274642578006,2.842170943040401e-14,1200.0,24
G074,2025-02-05,avail_gen_mw,24,6.642888734842899,6.824320027172121,6.8752944270197105,7.352774304730822,0.18143129232922206,0.23240569217681184,0.7098855698879234,7.352774304730828,7.352774304730829,7.352774304730829,7.352774304730829,0.0,2.5564197433295135,1.7216559107691864,1172.0,24
T069,2025-03-04,unavail_tx_import_mw,24,6.16187839345757,6.360603778115121,6.1880318836136015,6.365102980961826,0.19872538465755074,0.02615349015603119,0.20322458750425554,6.365102980961834,6.365102980961833,6.365102980961833,6.365102980961833,0.0,1.4638538514799464,0.44599970072613715,1000.0,24
T069,2025-03-30,unavail_tx_import_mw,23,22.669530098240834,22.871377342839402,22.669530098240834,23.005942172571775,0.20184724459856795,0.0,0.33641207433094067,23.005942172571785,23.005942172571785,23.005942172571785,23.005942172571785,0.0,1.3530922208919804,0.0,1000.0,24
G074,2025-02-06,avail_gen_mw,24,27.223217322856247,27.458393268704345,27.473310323019746,27.80569639192475,0.23517594584809842,0.2500930001634991,0.5824790690685049,27.80569639192481,27.805696391924798,27.805696391924798,27.805696391924798,0.0,6.9330408683212426,4.854097024797028,1172.0,24
T069,2025-03-23,unavail_tx_import_mw,24,14.627772490694786,14.880961025181657,14.627772490694786,14.944258158803374,0.2531885344868705,0.0,0.31648566810858725,14.944258158803384,14.94425815880338,14.94425815880338,14.94425815880338,0.0,2.6386061863602954,3.552713678800501e-15,1000.0,24
G060,2024-03-19,avail_gen_mw,24,6.1848803012869595,6.447973154756912,6.1848803012869595,6.509393477078433,0.2630928534699528,0.0,0.32451317579147343,6.509393477078395,6.5093934770783966,6.5093934770783966,6.5093934770783966,0.0,3.2666386260259443,0.0,1172.0,24
G097,2026-04-11,avail_gen_mw,24,22.17756407405842,22.461005468755634,21.028219635595853,22.881233865015133,0.2834413946972134,-1.1493444384625668,0.7036697909567131,22.881233865015194,22.88123386501519,22.88123386501519,22.88123386501519,0.0,3.8140950052457896,11.022102308427932,1172.0,24
G060,2024-03-21,avail_gen_mw,24,19.17160608390918,19.48269191010793,19.17160608390918,18.962676060753566,0.31108582619875236,0.0,-0.20893002315561304,18.96267606075352,18.96267606075352,18.96267606075352,18.96267606075352,1.0,3.396083876647495,1.4210854715202004e-14,1172.0,24
T069,2025-03-18,unavail_tx_import_mw,24,33.06050571595452,33.421315598277864,33.06050571595452,33.42131559827789,0.36080988232334477,0.0,0.3608098823233732,33.42131559827787,33.421315598277864,33.421315598277864,33.421315598277864,0.0,2.1384384107951036,1.4210854715202004e-14,1000.0,24
T069,2025-03-15,unavail_tx_import_mw,24,17.155408461054094,17.562904791360324,17.155408461054094,17.568265138924918,0.40749633030623045,0.0,0.41285667787082403,17.568265138924886,17.568265138924886,17.568265138924886,17.568265138924886,0.0,1.2884587695746603,0.0,1000.0,24
G079,2025-05-16,avail_gen_mw,24,15.209196642211259,15.63047916920146,15.209196642211259,15.68522715976532,0.4212825269902005,0.0,0.47603051755406156,15.685227159765331,15.685227159765333,15.685227159765333,15.685227159765333,0.0,2.296615617228621,3.552713678800501e-15,1040.0,24
T069,2025-03-22,unavail_tx_import_mw,24,11.319649894933397,11.772477252193033,11.110376230337517,11.77247725219302,0.4528273572596362,-0.20927366459588015,0.45282735725962375,11.77247725219303,11.772477252193033,11.772477252193033,11.772477252193033,0.0,1.5344638811081737,0.71120477134086,1000.0,24
T069,2025-03-08,unavail_tx_import_mw,24,17.882580595716345,18.34835169623962,17.882580595716345,18.34835169623963,0.46577110052327697,0.0,0.4657711005232841,18.34835169623963,18.348351696239625,18.348351696239625,18.348351696239625,0.0,1.2907042178815118,3.552713678800501e-15,1000.0,24
T065,2024-06-19,unavail_tx_import_mw,24,19.94023603058901,20.414427535537726,20.412323504069423,21.474292195053682,0.47419150494871687,0.47208747348041413,1.5340561644646726,21.474292195053625,21.47429219505362,21.47429219505362,21.47429219505362,0.0,1.8659053609063463,1.8814127196477202,1100.0,24
T069,2025-03-03,unavail_tx_import_mw,24,7.514638288126942,8.004521463168222,7.51463828812694,8.143155941633976,0.48988317504128087,-1.7763568394002505e-15,0.6285176535070347,8.143155941633976,8.143155941633974,8.143155941633974,8.143155941633974,0.0,1.7546415063498877,3.552713678800501e-15,1000.0,24
T065,2024-06-22,unavail_tx_import_mw,24,10.257576221850256,10.759686481263424,10.257576221850256,10.76605108721276,0.5021102594131683,0.0,0.5084748653625049,10.766051087212748,10.76605108721275,10.76605108721275,10.76605108721275,0.0,5.680061353194461,3.552713678800501e-15,1100.0,24
G060,2024-03-17,avail_gen_mw,24,4.94625313604752,5.614675732056365,6.132484569535254,6.132484569535265,0.6684225960088446,1.186231433487734,1.1862314334877446,6.1324845695352534,6.132484569535254,6.132484569535254,6.132484569535254,0.0,4.528130012727075,6.611303550427763,1172.0,24
T064,2024-05-14,unavail_tx_import_mw,24,14.26409452953682,15.001506540049713,14.188958865609473,16.086553637946533,0.7374120105128927,-0.07513566392734639,1.8224591084097135,16.08655363794654,16.086553637946544,16.086553637946544,16.086553637946544,0.0,1.9944885716551468,0.3434517517782396,1000.0,24
T069,2025-03-02,unavail_tx_import_mw,24,5.720852303187994,6.50904887682321,5.720852303187994,6.725257337111752,0.7881965736352168,0.0,1.0044050339237582,6.725257337111747,6.725257337111747,6.725257337111747,6.725257337111747,0.0,2.307383826002429,1.7763568394002505e-15,1000.0,24
T064,2024-05-12,unavail_tx_import_mw,24,13.888659113974617,14.727489332903005,13.146023144244134,15.728523442559647,0.838830218928388,-0.7426359697304825,1.8398643285850298,15.728523442559613,15.728523442559615,15.728523442559615,15.728523442559615,0.0,2.7612290968959066,2.5669298329412413,1000.0,24
T069,2025-03-21,unavail_tx_import_mw,24,33.7231291012719,34.59765914193122,33.19828058698725,34.81629165209602,0.8745300406593159,-0.5248485142846491,1.0931625508241183,34.81629165209607,34.81629165209606,34.81629165209606,34.81629165209606,0.0,4.235581360781836,2.3517260212677513,1000.0,24
